"Date","Hour","Sensor_Location","Count"
"01/12/2021",2,"Royal.Pde...Grattan.St",3
"01/12/2021",2,"Swanston.St...City.Square",231
"01/12/2021",2,"State.Library...New",28
"01/12/2021",2,"Flinders.Ln...Degraves.St..South.",9
"01/12/2021",2,"Flinders.Ln...Degraves.St..North.",0
"01/12/2021",2,"Flinders.Ln...Degraves.St..Crossing.",0
"01/12/2021",2,"Errol.Street..East.",18
"01/12/2021",2,"Westwood.Place",5
"01/12/2021",2,"Flinders.St...ACMI",NA
"01/12/2021",2,"Bourke.St...Spencer.St..South.",9
"01/12/2021",2,"Spring.St...Flinders.St..West.",NA
"01/12/2021",2,"Macaulay.Rd...Bellair.St",1
"01/12/2021",2,"Harbour.Esplanade...Pedestrian.Path",NA
"01/12/2021",2,"Harbour.Esplanade...Bike.Path",1
"01/12/2021",2,"Flinders.St..South.",17
"01/12/2021",2,"Elizabeth.St...Flinders.St..East....New.footpath",NA
"01/12/2021",2,"Macaulay.Rd..North.",NA
"01/12/2021",2,"Queensberry.St...Errol.St..South.",NA
"01/12/2021",3,"Bourke.Street.Mall..North.",15
"01/12/2021",3,"Bourke.Street.Mall..South.",17
"01/12/2021",3,"Melbourne.Central",35
"01/12/2021",3,"Town.Hall..West.",23
"01/12/2021",3,"Princes.Bridge",38
"01/12/2021",3,"Flinders.Street.Station.Underpass",18
"01/12/2021",3,"Birrarung.Marr",4
"01/12/2021",3,"Webb.Bridge",NA
"01/12/2021",3,"Southern.Cross.Station",4
"01/12/2021",3,"Victoria.Point",1
"01/12/2021",3,"Waterfront.City",2
"01/12/2021",3,"New.Quay",5
"01/12/2021",3,"Flagstaff.Station",NA
"01/12/2021",3,"Sandridge.Bridge",6
"01/12/2021",3,"State.Library",NA
"01/12/2021",3,"Collins.St..North.",7
"01/12/2021",3,"Collins.Place..South.",6
"01/12/2021",3,"Collins.Place..North.",7
"01/12/2021",3,"Chinatown.Swanston.St..North.",30
"01/12/2021",3,"Chinatown.Lt.Bourke.St..South.",11
"01/12/2021",3,"Bourke.St.Russell.St..West.",39
"01/12/2021",3,"Flinders.St.Elizabeth.St..East.",NA
"01/12/2021",3,"Spencer.St.Collins.St..South.",5
"01/12/2021",3,"Spencer.St.Collins.St..North.",9
"01/12/2021",3,"Melbourne.Convention.Exhibition.Centre",25
"01/12/2021",3,"QV.Market.Elizabeth.St..West.",23
"01/12/2021",3,"QV.Market.Peel.St",4
"01/12/2021",3,"The.Arts.Centre",35
"01/12/2021",3,"St.Kilda.Rd.Alexandra.Gardens",6
"01/12/2021",3,"Lonsdale.St..South.",12
"01/12/2021",3,"Lygon.St..West.",4
"01/12/2021",3,"City.Square",NA
"01/12/2021",3,"Flinders.St.Spring.St..West.",NA
